,노선명
441,영동선
442,대전남부순환선
443,통영대전선
444,영동선
445,영동선
446,영동선
447,영동선
448,영동선
449,영동선
450,영동선
451,영동선
452,통영대전선
453,통영대전선
454,영동선
455,영동선
456,영동선
457,영동선
458,영동선
459,영동선
460,통영대전선
461,영동선
462,영동선
463,영동선
464,서해안선
465,영동선
466,호남선의지선
467,호남선의지선
468,통영대전선
469,중앙선
470,중앙선
471,중앙선
472,중앙선
473,중앙선
474,논산천안선
475,중앙선
476,중앙선
477,중앙선
478,중앙선
479,중앙선
480,중앙선
481,중앙선
482,논산천안선
483,서해안선
484,서울외곽순환선
485,영동선
486,대구포항선
487,논산천안선
488,중앙선
489,중앙선
490,서울외곽순환선
491,논산천안선
492,중앙선
493,중앙선
494,대구포항선
495,중앙선
496,중앙선
497,중앙선
498,중앙선
499,중앙선
500,대구포항선
501,대구포항선
502,서울외곽순환선
503,중앙선
504,서울외곽순환선
505,영동선
506,대구포항선
507,중앙선
508,중앙선
509,중앙선
510,통영대전선
511,경부선
512,중앙선
513,중앙선
514,경부선
515,통영대전선
516,서해안선
517,통영대전선
518,경부선
519,중앙선
520,중앙선
521,중앙선
522,영동선
523,중부내륙선
524,서울외곽순환선
525,서울외곽순환선
526,중앙선
527,무안광주선
528,중앙선
529,중앙선
530,중앙선
531,중앙선
532,무안광주선
533,무안광주선
534,서울외곽순환선
535,중앙선
536,서울외곽순환선
537,무안광주선
538,중앙선
539,중앙선
540,중앙선
541,중앙선
542,중앙선
543,중앙선
544,중앙선
545,중앙선
546,통영대전선
547,중앙선
548,중앙선
549,중앙선
550,통영대전선
551,중앙선
552,중앙선
553,중앙선
554,중앙선
555,중앙선
556,경부선
557,중앙선
558,중앙선
559,호남선의지선
560,영동선
561,호남선의지선
562,영동선
563,경부선
564,중앙선
565,중앙선
566,중앙선
567,영동선
568,영동선
569,영동선
570,경부선
571,중앙선
572,남해선(순천부산)
573,영동선
574,중앙선
575,서해안선
576,영동선
577,중앙선
578,중앙선
579,중앙선
580,중앙선
581,중앙선
582,중앙선
583,중앙선
584,중앙선
585,중앙선
586,중부내륙선
587,중부내륙선
588,중부내륙선
589,중부내륙선
590,중부내륙선
591,중부내륙선
592,중부내륙선
593,중부내륙선
594,중부내륙선
595,중부내륙선
596,중부내륙선
597,중부내륙선
598,중부내륙선
599,중부내륙선
600,중부내륙선
601,중부내륙선
602,중부내륙선
603,중부내륙선
604,중부내륙선
605,중부내륙선
606,중부내륙선
607,서해안선
608,중부내륙선
609,호남선의지선
610,통영대전선
611,호남선의지선
612,통영대전선
613,통영대전선
614,통영대전선
615,통영대전선
616,청주상주선
617,서해안선
618,통영대전선
619,서해안선
620,통영대전선
621,서울외곽순환선
622,서해안선
623,서해안선
624,통영대전선
625,통영대전선
626,광주대구선
627,통영대전선
628,광주대구선
629,중부내륙선
630,중부내륙선
631,중부내륙선
632,광주대구선
633,서해안선
634,서해안선
635,서해안선
636,서해안선
637,서해안선
638,서해안선
639,광주대구선
640,광주대구선
641,광주대구선
642,광주대구선
643,중앙선
644,무안광주선
645,서해안선
646,서해안선
647,고창담양선
648,중부내륙선
649,서해안선
650,서해안선
651,서해안선
652,서해안선
653,서해안선
654,서해안선
655,서해안선
656,울산선
657,서해안선
658,서해안선
659,서해안선
660,서해안선
661,서해안선
662,서해안선
663,서해안선
664,서해안선
665,서해안선
666,서해안선
667,서해안선
668,서해안선
669,서해안선
670,서해안선
671,서해안선
672,서해안선
673,서해안선
674,서해안선
675,서해안선
676,서해안선
677,서해안선
678,중앙선
679,서해안선
680,서해안선
681,서울외곽순환선(판교퇴계원)
682,중앙선
683,중앙선
684,중앙선
685,중앙선
686,중앙선
687,중앙선
688,중앙선
689,중앙선
690,중앙선
691,중앙선
692,중부내륙선
693,중앙선
694,중부내륙선
695,중부내륙선
696,중부내륙선
697,중부내륙선
698,중부내륙선
699,중부내륙선
700,중부내륙선
701,중부내륙선
702,중부내륙선
703,중부내륙선
704,중부내륙선
705,중부내륙선
706,중부내륙선
707,익산장수선
708,중앙선
709,중부내륙선
710,중부내륙선
711,중부내륙선
712,중부내륙선
713,중부내륙선
714,중부내륙선
715,중부내륙선
716,대전남부순환선
717,대전남부순환선
718,중부내륙선
719,중부내륙선
720,중부내륙선
721,중부내륙선
722,중부내륙선
723,중부내륙선
724,중부내륙선
725,중부내륙선
726,중부내륙선
727,중부내륙선
728,중부내륙선
729,중부내륙선
730,중부내륙선
731,중부내륙선
732,중부내륙선
733,중부내륙선
734,중부내륙선
735,중부내륙선
736,중부내륙선
737,중부내륙선
738,중부내륙선
739,중부내륙선
740,중부내륙선
741,중부내륙선
742,중부내륙선
743,중부내륙선
744,중부내륙선
745,중부내륙선
746,통영대전선
747,중부내륙선
748,서울양양
749,서울양양
750,서울양양
751,서울양양
752,서울양양
753,서울양양
754,서울양양
755,서울양양
756,서울양양
757,서울양양
758,서울양양
759,서울양양
760,서울양양
761,서울양양
762,서울양양
763,서울양양
764,서울양양
765,서울양양
766,서울양양
767,서울양양
768,서울양양
769,서울양양
770,서울양양
771,서울양양
772,서울양양
773,서울양양
774,서울양양
775,서울양양
776,서울양양
777,서울양양
778,서울양양
779,서울양양
780,서울양양
781,서울양양
782,서울양양
783,서울양양
784,서울양양
785,서울양양
786,서울양양
787,서울양양
788,서울양양
789,서울양양
790,서울양양
791,서울양양
792,서울양양
793,서울양양
794,서울양양
795,서울양양
796,중앙선
797,중부내륙선
798,중부내륙선
799,중부내륙선
800,중부내륙선
801,중부내륙선
802,중부내륙선
803,중부내륙선
804,서울외곽순환선(판교퇴계원)
805,중부내륙선
806,중부내륙선
807,논산천안선
808,중부내륙선
809,경부선
810,평택제천선
811,중부내륙선
812,중부내륙선
813,중부내륙선
814,중부내륙선
815,중부내륙선
816,중부내륙선
817,중부내륙선
818,중부내륙선
819,중부내륙선
820,중부내륙선
821,중부내륙선
822,중부내륙선
823,중부내륙선
824,중부내륙선
825,중앙선
826,호남선의지선
827,호남선의지선
828,중부내륙선
829,중부내륙선
830,중부내륙선
831,중부내륙선
832,중부내륙선
833,서해안선
834,중부내륙선
835,중부내륙선
836,중부내륙선
837,중부내륙선
838,중부내륙선
839,중부내륙선
840,중부내륙선
841,중부내륙선
842,중부내륙선
843,중부내륙선
844,중부내륙선
845,중부내륙선
846,중부내륙선
847,중앙선
848,중부내륙선
849,중부내륙선
850,중부내륙선
851,중부내륙선
852,중부내륙선
853,중부내륙선
854,중부내륙선
855,서울양양
856,서울양양
857,서울양양
858,서울양양
859,서울양양
860,서울양양
861,서울양양
862,서울양양
863,서울양양
864,서울양양
865,서울양양
866,서울양양
867,서울양양
868,서울양양
869,서울양양
870,서울양양
871,서울양양
872,서울양양
873,서울양양
874,서울양양
875,서울양양
876,서울양양
877,서울양양
878,서울양양
879,서울양양
880,서울양양
881,서울양양
882,서울양양
883,서울양양
884,서울양양
885,서울양양
886,서울양양
887,서울양양
888,서울양양
889,서울양양
890,서울양양
891,서울양양
892,서울양양
893,서울양양
894,서울양양
895,서울양양
896,서울양양
897,서울양양
898,서울양양
899,서울양양
900,서울양양
901,서울양양
902,서울양양
903,서울양양
904,서울양양
905,서울양양
906,서울양양
907,서울양양
908,서울양양
909,서울양양
910,서울양양
911,서울양양
912,서울양양
913,서울양양
914,서울양양
915,서울양양
916,서울양양
917,서울양양
918,서울양양
919,서울양양
920,서울양양
921,서울양양
922,서울양양
923,서울양양
924,서울양양
925,중앙선
926,서울양양
927,서울양양
928,서울양양
929,서울양양
930,서울양양
931,서울양양
932,서울양양
933,서울양양
934,서울양양
935,서울양양
936,서울양양
937,서울양양
938,서울양양
939,서울양양
940,서울양양
941,서울양양
942,서울양양
943,서울양양
944,서울양양
945,서울양양
946,서울양양
947,서울양양
948,서울양양
949,서울양양
950,서울양양
951,서울양양
952,서울양양
953,서울양양
954,서울양양
955,서울양양
956,서울양양
957,서울양양
958,서울양양
959,서울양양
960,서울양양
961,서울양양
962,서울양양
963,서울양양
964,서울양양
965,서울양양
966,서울양양
967,서울양양
968,서울양양
969,서울양양
970,서울양양
971,서울양양
972,서울양양
973,서울양양
974,서울양양
975,서울양양
976,서울양양
977,서울양양
978,서울양양
979,서울양양
980,서울양양
981,서울양양
982,서울양양
983,서울양양
984,서울양양
985,서울양양
986,서울양양
987,서울양양
988,서울양양
989,서울양양
990,서울양양
991,서울양양
992,서울양양
993,서울양양
994,서울양양
995,서울양양
996,서울양양
997,서울양양
998,서울양양
999,서울양양
1000,서울양양
1001,서울양양
1002,서울양양
1003,서울양양
1004,서울양양
1005,서울양양
1006,서울양양
1007,서울양양
1008,서울양양
1009,서울양양
1010,서울양양
1011,서울양양
1012,서울양양
1013,서울양양
1014,서울양양
1015,서울양양
1016,서울양양
1017,서울양양
1018,서울양양
1019,서울양양
1020,서울양양
1021,서울양양
1022,서울양양
1023,서울양양
1024,서울양양
1025,서울양양
1026,서울양양
1027,서울양양
1028,서울양양
1029,서울양양
1030,서울양양
1031,서울양양
1032,서울양양
1033,서울양양
1034,서울양양
1035,서울양양
1036,서울양양
1037,서울양양
1038,서울양양
1039,중앙선
1040,영동선
1041,동해선
1042,동해선
1043,동해선
1044,동해선
1045,동해선
1046,동해선
1047,동해선
1048,동해선
1049,서해안선
1050,동해선
1051,서해안선
1052,동해선
1053,동해선
1054,동해선
1055,동해선
1056,동해선
1057,동해선
1058,동해선
1059,동해선
1060,동해선
1061,동해선
1062,동해선
1063,동해선
1064,동해선
1065,동해선
1066,동해선
1067,동해선
1068,동해선
1069,동해선
1070,동해선
1071,동해선
1072,동해선
1073,동해선
1074,동해선
1075,동해선
1076,동해선
1077,동해선
1078,동해선
1079,동해선
1080,동해선
1081,동해선
1082,동해선
1083,동해선
1084,동해선
1085,동해선
1086,동해선
1087,동해선
1088,동해선
1089,경부선
1090,동해선
1091,동해선
1092,동해선
1093,동해선
1094,경부선
1095,동해선
1096,동해선
1097,동해선
1098,동해선
1099,동해선
1100,서울양양
1101,서울양양
1102,서울양양
1103,서울양양
1104,서울양양
1105,서울양양
1106,서울양양
1107,서울양양
1108,서울양양
1109,서울양양
1110,서울양양
1111,서울양양
1112,서울양양
1113,서울양양
1114,서울양양
1115,서울양양
1116,서울양양
1117,서울양양
1118,서울양양
1119,서울양양
1120,서울양양
1121,서울양양
1122,서울양양
1123,서울양양
1124,서울양양
1125,서울양양
1126,서울양양
1127,서울양양
1128,서울양양
1129,서울양양
1130,서울양양
1131,서울양양
1132,서울양양
1133,서울양양
1134,서울양양
1135,서울양양
1136,서울양양
1137,서울양양
1138,서울양양
1139,서울양양
1140,서울양양
1141,서울양양
1142,서울양양
1143,서울양양
1144,서울양양
1145,서울양양
1146,서울양양
1147,서울양양
1148,서울양양
1149,서울양양
1150,서울양양
1151,서울양양
1152,서울양양
1153,서울양양
1154,서울양양
1155,서울양양
1156,서울양양
1157,서울양양
1158,서울양양
1159,서울양양
1160,서울양양
1161,서울양양
1162,서울양양
1163,서울양양
1164,서울양양
1165,서울양양
1166,서울양양
1167,서울양양
1168,서울양양
1169,서울양양
1170,서울양양
1171,서울양양
1172,서울양양
1173,서울양양
1174,서울양양
1175,서울양양
1176,서울양양
1177,서울양양
1178,서울양양
1179,서울양양
1180,서울양양
1181,서울양양
1182,서울양양
1183,서울양양
1184,서울양양
1185,서울양양
1186,서울양양
1187,서울양양
1188,서울양양
1189,서울양양
1190,서울양양
1191,동해선
1192,동해선
1193,동해선
1194,동해선
1195,동해선
1196,동해선
1197,동해선
1198,동해선
1199,동해선
1200,동해선
1201,동해선
1202,동해선
1203,동해선
1204,동해선
1205,동해선
1206,동해선
1207,동해선
1208,동해선
1209,동해선
1210,동해선
1211,동해선
1212,동해선
1213,동해선
1214,동해선
1215,동해선
1216,동해선
1217,동해선
1218,동해선
1219,동해선
1220,동해선
1221,동해선
1222,동해선
1223,동해선
1224,동해선
1225,동해선
1226,동해선
1227,동해선
1228,동해선
1229,동해선
1230,동해선
1231,동해선
1232,동해선
1233,동해선
1234,동해선
1235,제2경인선
1236,제2경인선
1237,동해선
1238,동해선
1239,동해선
1240,동해선
1241,동해선
1242,동해선
1243,동해선
1244,동해선
1245,동해선
1246,동해선
1247,동해선
1248,동해선
1249,동해선
1250,동해선
1251,동해선
1252,동해선
1253,동해선
1254,동해선
1255,동해선
1256,동해선
1257,동해선
1258,동해선
1259,동해선
1260,동해선
1261,동해선
1262,동해선
1263,동해선
1264,동해선
1265,동해선
1266,동해선
1267,동해선
1268,동해선
1269,동해선
1270,동해선
1271,동해선
1272,동해선
1273,동해선
1274,동해선
1275,동해선
1276,동해선
1277,동해선
1278,동해선
1279,동해선
1280,동해선
1281,동해선
1282,동해선
1283,동해선
1284,동해선
1285,동해선
1286,동해선
1287,동해선
1288,동해선
1289,동해선
1290,동해선
1291,동해선
1292,동해선
1293,동해선
1294,동해선
1295,동해선
1296,동해선
1297,동해선
1298,통영대전선
1299,동해선
1300,동해선
1301,동해선
1302,동해선
1303,동해선
1304,동해선
1305,동해선
1306,동해선
1307,동해선
1308,동해선
1309,동해선
1310,동해선
1311,동해선
1312,동해선
1313,동해선
1314,동해선
1315,동해선
1316,동해선
1317,동해선
1318,동해선
1319,동해선
1320,동해선
1321,동해선
1322,동해선
1323,동해선
1324,동해선
1325,통영대전선
1326,동해선
1327,동해선
1328,동해선
1329,동해선
1330,동해선
1331,동해선
1332,동해선
1333,동해선
1334,동해선
1335,동해선
1336,동해선
1337,동해선
1338,동해선
1339,동해선
1340,동해선
1341,동해선
1342,동해선
1343,동해선
1344,동해선
1345,동해선
1346,동해선
1347,동해선
1348,동해선
1349,동해선
1350,동해선
1351,동해선
1352,동해선
1353,동해선
1354,동해선
1355,동해선
1356,중앙선
1357,중앙선
1358,중앙선
1359,영동선
1360,영동선
1361,중부내륙선
1362,영동선
1363,중앙선
1364,중앙선
1365,중앙선
1366,중앙선
1367,중앙선
1368,중부내륙선
1369,중앙선
1370,중앙선
1371,중앙선
1372,영동선
1373,중부내륙선
1374,중앙선
1375,중부내륙선
1376,중앙선
1377,중앙선
1378,중앙선
1379,중앙선
1380,중앙선
1381,중앙선
1382,중앙선
1383,중앙선
1384,중앙선
1385,중앙선
1386,중앙선
1387,중앙선
1388,중앙선
1389,경부선
1390,경부선
1391,경부선
1392,중앙선
1393,중앙선
1394,봉담동탄선
1395,중앙선
1396,중앙선
1397,봉담동탄선
1398,봉담동탄선
1399,봉담동탄선
1400,경부선
1401,봉담동탄선
1402,중앙선
1403,중앙선
1404,봉담동탄선
1405,봉담동탄선
1406,중앙선
1407,중앙선
1408,중앙선
1409,중앙선
1410,중앙선
1411,중앙선
1412,중앙선
1413,중앙선
1414,중앙선
1415,중앙선
1416,중앙선
1417,중앙선
1418,중앙선
1419,중앙선
1420,중앙선
1421,중앙선
1422,중앙선
1423,중앙선
1424,중앙선
1425,중앙선
1426,동해선
1427,동해선
1428,동해선
1429,동해선
1430,동해선
1431,동해선
1432,동해선
1433,동해선
1434,동해선
1435,동해선
1436,동해선
1437,동해선
1438,동해선
1439,동해선
1440,동해선
1441,동해선
1442,동해선
1443,동해선
1444,동해선
1445,동해선
1446,동해선
1447,동해선
1448,동해선
1449,동해선
1450,동해선
1451,동해선
1452,동해선
1453,동해선
1454,동해선
1455,동해선
1456,동해선
1457,부산포항선
1458,동해선
1459,동해선
1460,동해선
1461,동해선
1462,동해선
1463,부산포항선
1464,동해선
1465,동해선
1466,동해선
1467,동해선
1468,중부내륙선
1469,동해선
1470,동해선
1471,동해선
1472,동해선
1473,동해선
1474,동해선
1475,동해선
1476,동해선
1477,동해선
1478,동해선
1479,동해선
1480,동해선
1481,동해선
1482,동해선
1483,동해선
1484,동해선
1485,동해선
1486,중앙선
1487,중앙선
1488,남해선(영암순천)
1489,중앙선
1490,중앙선
1491,중앙선
1492,중앙선
1493,중앙선
1494,중앙선
1495,중앙선
1496,통영대전선
1497,중앙선
1498,중앙선
1499,중앙선
1500,중앙선
1501,중앙선
1502,중앙선
1503,중앙선
1504,중앙선
1505,중앙선
1506,중앙선
1507,중앙선
1508,중앙선
1509,중앙선
1510,중앙선
1511,중앙선
1512,중앙선
1513,통영대전선
1514,통영대전선
1515,중앙선
1516,중앙선
1517,중앙선
1518,중앙선
1519,중앙선
1520,중앙선
1521,중앙선
1522,중앙선
1523,중앙선
1524,중부내륙선
1525,중앙선
1526,중앙선
1527,중앙선
1528,중앙선
1529,중부내륙선
1530,중앙선
1531,중앙선
1532,중앙선
1533,중앙선
1534,중앙선
1535,중앙선
1536,중앙선
1537,중앙선
1538,중앙선
1539,중앙선
1540,중앙선
1541,중앙선
1542,중앙선
1543,중앙선
1544,중앙선
1545,중앙선
1546,중앙선
1547,중앙선
1548,중앙선
1549,중앙선
1550,중앙선
1551,중앙선
1552,중앙선
1553,중앙선
1554,중앙선
1555,중앙선
1556,중앙선
1557,중앙선
1558,중앙선
1559,중앙선
1560,중앙선
1561,중앙선
1562,중앙선
1563,중앙선
1564,중앙선
1565,중앙선
1566,중앙선
1567,중앙선
1568,중앙선
1569,중앙선
1570,중앙선
1571,중앙선
1572,중앙선
1573,익산장수선
1574,중앙선
1575,중앙선
1576,중앙선
1577,중앙선
1578,중앙선
1579,중앙선
1580,중앙선
1581,중앙선
1582,중앙선
1583,중앙선
1584,중앙선
1585,중앙선
1586,중앙선
1587,중앙선
1588,중앙선
1589,중앙선
1590,중앙선
1591,중앙선
1592,중앙선
1593,중앙선
1594,중앙선
1595,중앙선
1596,중앙선
1597,경인선
1598,중앙선
1599,중앙선
1600,중앙선
1601,중앙선
1602,중앙선
1603,중앙선
1604,중앙선
1605,중앙선
1606,중앙선
1607,중앙선
1608,중앙선
1609,중앙선
1610,중앙선
1611,중앙선
1612,중앙선
1613,중앙선
1614,중앙선
1615,중앙선
1616,영동선
1617,중앙선
1618,중앙선
1619,중앙선
1620,중앙선
1621,중앙선
1622,중앙선
1623,중앙선
1624,중앙선
1625,중앙선
1626,중앙선
1627,중앙선
1628,중앙선
1629,중앙선
1630,중앙선
1631,영동선
1632,중앙선
1633,중앙선
1634,중앙선
1635,통영대전선
1636,중앙선
1637,중앙선
1638,중앙선
1639,중앙선
1640,서해안선
1641,중앙선
1642,중앙선
1643,서해안선
1644,중앙선
1645,중앙선
1646,중앙선
1647,중앙선
1648,중앙선
1649,대구포항선
1650,대구포항선
1651,남해선(순천부산)
1652,중앙선
1653,대구포항선
1654,중앙선
1655,중앙선
1656,남해선(순천부산)
1657,봉담동탄선
1658,중앙선
1659,중앙선
1660,중앙선
1661,중앙선
1662,중앙선
1663,중앙선
1664,중앙선
1665,남해선(순천부산)
1666,남해선(순천부산)
1667,남해선(순천부산)
1668,남해선(순천부산)
1669,남해선(순천부산)
1670,봉담동탄선
1671,봉담동탄선
1672,경인선
1673,남해선(순천부산)
1674,남해선(순천부산)
1675,남해선(순천부산)
1676,경인선
1677,경인선
1678,경인선
1679,경인선
1680,남해선(순천부산)
1681,경인선
1682,서울외곽순환선
1683,경인선
1684,서울외곽순환선
1685,경인선
1686,남해선(순천부산)
1687,중앙선
1688,남해선(순천부산)
1689,경인선
1690,서울외곽순환선
1691,당진대전선
1692,경인선
1693,당진대전선
1694,통영대전선
1695,제2중부선
1696,서울외곽순환선
1697,서울외곽순환선
1698,남해선(순천부산)
1699,서울외곽순환선
1700,서울외곽순환선
1701,서울외곽순환선
1702,익산장수선
1703,서울외곽순환선
1704,서울외곽순환선
1705,서울외곽순환선
1706,서울외곽순환선
1707,서울외곽순환선
1708,서울외곽순환선
1709,서울외곽순환선
1710,서울외곽순환선
1711,서울외곽순환선
1712,서울외곽순환선
1713,경인선
1714,서울외곽순환선
1715,서울외곽순환선
1716,서울외곽순환선
1717,서울외곽순환선
1718,서울외곽순환선
1719,경인선
1720,서울외곽순환선
1721,서울외곽순환선
1722,서울외곽순환선
1723,서울외곽순환선
1724,서울외곽순환선
1725,서울외곽순환선
1726,서울외곽순환선
1727,중앙선
1728,서울외곽순환선
1729,서울외곽순환선
1730,경인선
1731,경인선
1732,경인선
1733,경인선
1734,경인선
1735,경인선
1736,경인선
1737,경인선
1738,경인선
1739,경인선
1740,경인선
1741,경인선
1742,경인선
1743,경인선
1744,경인선
1745,경인선
1746,경인선
1747,경인선
1748,경인선
1749,경인선
1750,경인선
1751,경인선
1752,경인선
1753,경인선
1754,경인선
1755,경인선
1756,경인선
1757,경인선
1758,경인선
1759,경인선
1760,경인선
1761,경인선
1762,경인선
1763,경인선
1764,경인선
1765,경인선
1766,경인선
1767,경인선
1768,경인선
1769,경인선
1770,서울외곽순환선
1771,경인선
1772,경인선
1773,경인선
1774,경인선
1775,경인선
1776,경인선
1777,경인선
1778,경인선
1779,중부내륙선
1780,경인선
1781,중부내륙선
1782,통영대전선
1783,경부선
1784,경인선
1785,경인선
1786,경부선
1787,서울외곽순환선
1788,서울외곽순환선
1789,경인선
1790,경인선
1791,경인선
1792,경인선
1793,경인선
1794,경인선
1795,경부선
1796,경인선
1797,경인선
1798,경인선
1799,경인선
1800,경인선
1801,중앙선
1802,경부선
1803,경인선
1804,경인선
1805,서울외곽순환선
1806,서울외곽순환선
1807,서울외곽순환선
1808,서울외곽순환선
1809,서울외곽순환선
1810,경부선
1811,경부선
1812,경부선
1813,서울외곽순환선
1814,서울외곽순환선
1815,서울외곽순환선
1816,서울외곽순환선
1817,서울외곽순환선
1818,서울외곽순환선
1819,서울외곽순환선
1820,서울외곽순환선
1821,서해안선
1822,서울외곽순환선
1823,서해안선
1824,서울외곽순환선
1825,서울외곽순환선
1826,서울외곽순환선
1827,서울외곽순환선
1828,서울외곽순환선
1829,서울외곽순환선
1830,서울외곽순환선
1831,서울외곽순환선
1832,서울외곽순환선
1833,서울외곽순환선
1834,서울외곽순환선
1835,서울외곽순환선
1836,서울외곽순환선
1837,서울외곽순환선
1838,서울외곽순환선
1839,서울외곽순환선
1840,서울외곽순환선
1841,서울외곽순환선
1842,서울외곽순환선
1843,서울외곽순환선
1844,제2중부선
1845,경인선
1846,서울외곽순환선
1847,서울외곽순환선
1848,서울외곽순환선
1849,경인선
1850,고창담양선
1851,경인선
1852,경인선
